# file...... ../results/IEEE_123_feeder_0_meter_current.csv
# date...... Mon Nov 18 19:46:57 2024
# user...... ubuntu
# host...... (null)
# target.... meter 189
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C
2013-08-28 00:23:00 PST,+243.125-118.302j,-201.335-104.265j,-14.3096+226.85j
2013-08-28 00:24:00 PST,+242.466-118.044j,-201.683-104.397j,-14.1451+226.296j
2013-08-28 00:25:00 PST,+241.828-117.832j,-201.426-104.091j,-13.9314+225.018j
2013-08-28 00:26:00 PST,+242.21-118.011j,-200.959-103.844j,-14.0391+225.35j
2013-08-28 00:27:00 PST,+242.638-118.161j,-201.124-104.061j,-14.2106+226.461j
2013-08-28 00:28:00 PST,+243.105-118.233j,-201.96-104.667j,-14.2743+226.812j
2013-08-28 00:29:00 PST,+243.592-118.351j,-202.192-104.835j,-14.2874+226.431j
2013-08-28 00:30:00 PST,+244.039-118.547j,-201.749-104.611j,-14.4084+226.813j
2013-08-28 00:31:00 PST,+243.819-118.501j,-201.635-104.556j,-14.4509+227.403j
2013-08-28 00:32:00 PST,+243.627-118.379j,-202.189-104.887j,-14.381+227.224j
2013-08-28 00:33:00 PST,+243.425-118.32j,-202.101-104.802j,-14.34+227.061j
2013-08-28 00:34:00 PST,+243.242-118.307j,-201.406-104.277j,-14.2487+226.168j
2013-08-28 00:35:00 PST,+243.04-118.247j,-201.319-104.192j,-14.2078+226.006j
2013-08-28 00:36:00 PST,+243.027-118.204j,-201.928-104.634j,-14.259+226.742j
2013-08-28 00:37:00 PST,+243.053-118.211j,-201.939-104.645j,-14.2645+226.763j
2013-08-28 00:38:00 PST,+243.099-118.265j,-201.345-104.217j,-14.2199+226.054j
2013-08-28 00:39:00 PST,+243.125-118.273j,-201.356-104.228j,-14.2249+226.075j
2013-08-28 00:40:00 PST,+243.132-118.234j,-201.974-104.678j,-14.2803+226.827j
2013-08-28 00:41:00 PST,+242.032-117.911j,-201.495-104.215j,-14.058+225.942j
2013-08-28 00:42:00 PST,+240.806-117.593j,-200.354-103.256j,-13.7567+224.221j
2013-08-28 00:43:00 PST,+239.562-117.228j,-199.817-102.734j,-13.5055+223.226j
2013-08-28 00:44:00 PST,+238.297-116.819j,-199.873-102.639j,-13.2989+222.94j
2013-08-28 00:45:00 PST,+237.051-116.454j,-199.332-102.114j,-13.0467+221.939j
2013-08-28 00:46:00 PST,+236.996-116.478j,-198.711-101.659j,-12.9861+221.174j
2013-08-28 00:47:00 PST,+236.277-116.141j,-198.757-101.752j,-12.9687+221.268j
2013-08-28 00:48:00 PST,+236.353-116.124j,-199.388-102.217j,-13.033+222.05j
2013-08-28 00:49:00 PST,+237.266-116.518j,-199.426-102.205j,-13.0899+222.112j
2013-08-28 00:50:00 PST,+237.383-116.591j,-198.878-101.821j,-13.0644+221.483j
2013-08-28 00:51:00 PST,+237.489-116.623j,-198.923-101.866j,-13.0856+221.569j
2013-08-28 00:52:00 PST,+237.572-116.607j,-199.558-102.334j,-13.1518+222.358j
2013-08-28 00:53:00 PST,+236.857-116.271j,-199.608-102.431j,-13.136+222.457j
2013-08-28 00:54:00 PST,+236.979-116.347j,-199.061-102.048j,-13.1117+221.832j
2013-08-28 00:55:00 PST,+237.902-116.744j,-199.101-102.039j,-13.1691+221.899j
2013-08-28 00:56:00 PST,+237.965-116.722j,-199.729-102.499j,-13.2314+222.674j
2013-08-28 00:57:00 PST,+238.042-116.745j,-199.762-102.532j,-13.2473+222.736j
2013-08-28 00:58:00 PST,+237.317-116.446j,-199.208-102.191j,-13.1804+222.105j
2013-08-28 00:59:00 PST,+237.394-116.469j,-199.241-102.223j,-13.1958+222.166j
2013-08-28 01:00:00 PST,+238.274-116.813j,-199.863-102.629j,-13.2942+222.922j
2013-08-28 01:01:00 PST,+238.115-116.759j,-199.797-102.563j,-13.2627+222.786j
2013-08-28 01:02:00 PST,+237.992-116.762j,-199.142-102.077j,-13.1885+221.962j
2013-08-28 01:03:00 PST,+237.847-116.72j,-199.079-102.016j,-13.1591+221.846j
2013-08-28 01:04:00 PST,+237.683-116.632j,-199.608-102.38j,-13.1751+222.438j
2013-08-28 01:05:00 PST,+237.538-116.589j,-199.545-102.32j,-13.146+222.321j
2013-08-28 01:06:00 PST,+237.753-116.692j,-199.039-101.977j,-13.1401+221.771j
2013-08-28 01:07:00 PST,+238.021-116.771j,-199.155-102.089j,-13.1941+221.985j
2013-08-28 01:08:00 PST,+238.271-116.804j,-199.863-102.628j,-13.2946+222.91j
2013-08-28 01:09:00 PST,+238.539-116.883j,-199.98-102.742j,-13.3492+223.126j
2013-08-28 01:10:00 PST,+238.827-117.007j,-199.502-102.427j,-13.3575+222.63j
2013-08-28 01:11:00 PST,+238.815-117.002j,-199.497-102.422j,-13.3548+222.619j
2013-08-28 01:12:00 PST,+238.718-116.934j,-200.058-102.817j,-13.3856+223.27j
2013-08-28 01:13:00 PST,+238.642-116.912j,-200.025-102.785j,-13.3704+223.208j
2013-08-28 01:14:00 PST,+238.586-116.935j,-199.398-102.326j,-13.3087+222.436j
2013-08-28 01:15:00 PST,+238.509-116.913j,-199.365-102.294j,-13.2931+222.375j
2013-08-28 01:16:00 PST,+237.887-116.691j,-199.697-102.467j,-13.2167+222.602j
2013-08-28 01:17:00 PST,+237.143-116.473j,-199.374-102.153j,-13.066+222.004j
2013-08-28 01:18:00 PST,+236.418-116.302j,-198.463-101.417j,-12.87+220.704j
2013-08-28 01:19:00 PST,+235.673-116.084j,-198.142-101.105j,-12.7194+220.108j
2013-08-28 01:20:00 PST,+234.909-115.822j,-198.404-101.211j,-12.6111+220.209j
2013-08-28 01:21:00 PST,+235.145-115.893j,-198.507-101.311j,-12.6594+220.401j
2013-08-28 01:22:00 PST,+235.672-116.086j,-198.141-101.104j,-12.7187+220.109j
2013-08-28 01:23:00 PST,+236.178-116.234j,-198.359-101.316j,-12.8207+220.514j
2013-08-28 01:24:00 PST,+236.665-116.336j,-199.166-101.951j,-12.9682+221.622j
2013-08-28 01:25:00 PST,+237.171-116.484j,-199.386-102.165j,-13.071+222.028j
2013-08-28 01:26:00 PST,+236.423-116.305j,-198.465-101.419j,-12.8709+220.709j
2013-08-28 01:27:00 PST,+235.265-115.966j,-197.966-100.934j,-12.6368+219.783j
2013-08-28 01:28:00 PST,+234.086-115.583j,-198.047-100.864j,-12.4436+219.549j
2013-08-28 01:29:00 PST,+232.927-115.245j,-197.545-100.375j,-12.2085+218.618j
2013-08-28 01:30:00 PST,+230.996-114.597j,-196.472-99.5295j,-11.895+217.02j
2013-08-28 01:31:00 PST,+230.769-114.529j,-196.375-99.4338j,-11.8487+216.835j
2013-08-28 01:32:00 PST,+231.64-114.87j,-196.988-99.833j,-11.9462+217.582j
2013-08-28 01:33:00 PST,+231.743-114.899j,-197.032-99.8763j,-11.9672+217.665j
2013-08-28 01:34:00 PST,+231.075-114.617j,-196.507-99.5626j,-11.9113+217.08j
2013-08-28 01:35:00 PST,+231.176-114.647j,-196.551-99.6053j,-11.9318+217.162j
2013-08-28 01:36:00 PST,+232.361-115.08j,-197.3-100.137j,-12.0927+218.162j
2013-08-28 01:37:00 PST,+232.878-115.231j,-197.524-100.355j,-12.1979+218.577j
2013-08-28 01:38:00 PST,+232.616-115.067j,-197.174-100.212j,-12.2252+218.319j
2013-08-28 01:39:00 PST,+233.13-115.217j,-197.397-100.428j,-12.3295+218.732j
2013-08-28 01:40:00 PST,+234.428-115.682j,-198.196-101.008j,-12.5136+219.823j
2013-08-28 01:41:00 PST,+234.363-115.662j,-198.168-100.981j,-12.5005+219.769j
2013-08-28 01:42:00 PST,+234.099-115.625j,-197.464-100.446j,-12.4006+218.849j
2013-08-28 01:43:00 PST,+233.816-115.542j,-197.342-100.327j,-12.3431+218.623j
2013-08-28 01:44:00 PST,+233.513-115.414j,-197.8-100.622j,-12.3274+219.086j
2013-08-28 01:45:00 PST,+233.229-115.331j,-197.677-100.503j,-12.27+218.858j
2013-08-28 01:46:00 PST,+232.829-115.254j,-196.917-99.9133j,-12.1431+217.833j
2013-08-28 01:47:00 PST,+232.358-115.116j,-196.714-99.7157j,-12.0476+217.457j
2013-08-28 01:48:00 PST,+231.866-114.934j,-197.086-99.9279j,-11.9922+217.763j
2013-08-28 01:49:00 PST,+230.606-114.441j,-196.886-99.7829j,-11.8598+217.4j
2013-08-28 01:50:00 PST,+230.157-114.351j,-196.11-99.1766j,-11.7245+216.343j
2013-08-28 01:51:00 PST,+231.05-114.738j,-196.151-99.1679j,-11.7821+216.414j
2013-08-28 01:52:00 PST,+231.382-114.795j,-196.876-99.724j,-11.8935+217.376j
2013-08-28 01:53:00 PST,+230.944-114.541j,-197.033-99.926j,-11.9288+217.674j
2013-08-28 01:54:00 PST,+231.315-114.688j,-196.611-99.6639j,-11.9602+217.274j
2013-08-28 01:55:00 PST,+232.459-115.148j,-196.758-99.7582j,-12.0679+217.539j
2013-08-28 01:56:00 PST,+232.366-115.081j,-197.302-100.139j,-12.0939+218.166j
2013-08-28 01:57:00 PST,+231.301-114.644j,-197.189-100.077j,-12.0017+217.962j
2013-08-28 01:58:00 PST,+231.049-114.611j,-196.496-99.5521j,-11.9061+217.06j
2013-08-28 01:59:00 PST,+231.567-114.888j,-196.373-99.3844j,-11.8869+216.826j
2013-08-28 02:00:00 PST,+231.274-114.763j,-196.829-99.6781j,-11.8713+217.288j
2013-08-28 02:01:00 PST,+230.775-114.491j,-196.96-99.8543j,-11.8942+217.537j
2013-08-28 02:02:00 PST,+231.371-114.704j,-196.635-99.6878j,-11.9719+217.318j
2013-08-28 02:03:00 PST,+232.743-115.23j,-196.88-99.8773j,-12.1255+217.765j
2013-08-28 02:04:00 PST,+233.302-115.352j,-197.708-100.533j,-12.2846+218.917j
2013-08-28 02:05:00 PST,+233.882-115.522j,-197.96-100.778j,-12.4024+219.382j
2013-08-28 02:06:00 PST,+233.393-115.417j,-197.16-100.15j,-12.2576+218.283j
2013-08-28 02:07:00 PST,+232.313-115.102j,-196.695-99.6971j,-12.039+217.42j
2013-08-28 02:08:00 PST,+231.212-114.743j,-196.803-99.6524j,-11.8591+217.237j
2013-08-28 02:09:00 PST,+230.132-114.428j,-196.334-99.1971j,-11.6396+216.369j
2013-08-28 02:10:00 PST,+228.293-113.809j,-195.304-98.3917j,-11.3444+214.846j
2013-08-28 02:11:00 PST,+228.403-113.843j,-195.351-98.438j,-11.3666+214.937j
2013-08-28 02:12:00 PST,+229.932-114.374j,-196.248-99.1126j,-11.5979+216.211j
2013-08-28 02:13:00 PST,+230.703-114.598j,-196.582-99.4377j,-11.7549+216.83j
2013-08-28 02:14:00 PST,+230.705-114.51j,-196.347-99.407j,-11.8359+216.784j
2013-08-28 02:15:00 PST,+231.472-114.734j,-196.679-99.7298j,-11.9917+217.4j
2013-08-28 02:16:00 PST,+232.215-115.031j,-197.238-100.076j,-12.064+218.037j
2013-08-28 02:17:00 PST,+231.761-114.898j,-197.041-99.884j,-11.9718+217.672j
2013-08-28 02:18:00 PST,+231.326-114.811j,-196.271-99.2837j,-11.839+216.627j
2013-08-28 02:19:00 PST,+230.871-114.679j,-196.075-99.093j,-11.7468+216.263j
2013-08-28 02:20:00 PST,+230.396-114.502j,-196.45-99.3083j,-11.6933+216.576j
2013-08-28 02:21:00 PST,+230.432-114.512j,-196.465-99.3236j,-11.7007+216.605j
2013-08-28 02:22:00 PST,+230.014-114.304j,-196.049-99.1163j,-11.6959+216.222j
2013-08-28 02:23:00 PST,+230.359-114.405j,-196.199-99.2617j,-11.766+216.5j
2013-08-28 02:24:00 PST,+231.475-114.816j,-196.917-99.7632j,-11.9131+217.443j
2013-08-28 02:25:00 PST,+231.822-114.917j,-197.068-99.9099j,-11.9839+217.722j
2013-08-28 02:26:00 PST,+231.589-114.888j,-196.385-99.3942j,-11.8925+216.837j
2013-08-28 02:27:00 PST,+230.937-114.697j,-196.103-99.1204j,-11.7602+216.315j
2013-08-28 02:28:00 PST,+230.263-114.463j,-196.392-99.2522j,-11.6662+216.469j
2013-08-28 02:29:00 PST,+229.609-114.272j,-196.109-98.977j,-11.5335+215.944j
2013-08-28 02:30:00 PST,+228.199-113.776j,-195.265-98.3523j,-11.3259+214.765j
2013-08-28 02:31:00 PST,+228.392-113.837j,-195.347-98.4333j,-11.3647+214.925j
2013-08-28 02:32:00 PST,+229.91-114.365j,-196.239-99.1033j,-11.5937+216.19j
2013-08-28 02:33:00 PST,+230.671-114.586j,-196.568-99.4241j,-11.7486+216.801j
2013-08-28 02:34:00 PST,+230.662-114.496j,-196.329-99.3892j,-11.8276+216.747j
2013-08-28 02:35:00 PST,+231.419-114.716j,-196.656-99.7075j,-11.9812+217.354j
2013-08-28 02:36:00 PST,+232.272-115.05j,-197.262-100.099j,-12.075+218.086j
2013-08-28 02:37:00 PST,+231.841-114.925j,-197.075-99.9178j,-11.9878+217.741j
2013-08-28 02:38:00 PST,+231.43-114.845j,-196.315-99.3274j,-11.8598+216.714j
2013-08-28 02:39:00 PST,+230.213-114.364j,-196.135-99.1999j,-11.7359+216.386j
2013-08-28 02:40:00 PST,+229.764-114.195j,-196.52-99.426j,-11.6874+216.718j
2013-08-28 02:41:00 PST,+230.349-114.492j,-196.429-99.2888j,-11.6835+216.543j
2013-08-28 02:42:00 PST,+230.352-114.532j,-195.851-98.8755j,-11.6409+215.853j
2013-08-28 02:43:00 PST,+229.55-114.172j,-195.848-98.9208j,-11.6008+215.854j
2013-08-28 02:44:00 PST,+229.512-114.123j,-196.411-99.3194j,-11.6358+216.516j
2013-08-28 02:45:00 PST,+230.278-114.471j,-196.398-99.2587j,-11.6689+216.486j
2013-08-28 02:46:00 PST,+229.951-114.414j,-195.679-98.7076j,-11.5598+215.531j
2013-08-28 02:47:00 PST,+228.564-113.884j,-195.422-98.5058j,-11.3999+215.061j
2013-08-28 02:48:00 PST,+227.938-113.664j,-195.726-98.6529j,-11.3138+215.244j
2013-08-28 02:49:00 PST,+228.106-113.839j,-195.458-98.3434j,-11.2264+214.74j
2013-08-28 02:50:00 PST,+227.519-113.708j,-194.632-97.6886j,-11.0658+213.588j
2013-08-28 02:51:00 PST,+226.468-113.278j,-194.516-97.6234j,-10.9721+213.38j
2013-08-28 02:52:00 PST,+226.449-113.234j,-195.078-98.022j,-11.0084+214.044j
2013-08-28 02:53:00 PST,+227.219-113.583j,-195.074-97.9693j,-11.0452+214.029j
2013-08-28 02:54:00 PST,+227.241-113.628j,-194.513-97.5722j,-11.0093+213.368j
2013-08-28 02:55:00 PST,+226.473-113.279j,-194.518-97.6256j,-10.9732+213.384j
2013-08-28 02:56:00 PST,+226.864-113.355j,-195.259-98.1979j,-11.0935+214.38j
2013-08-28 02:57:00 PST,+228.434-113.936j,-195.6-98.4815j,-11.2931+215.005j
2013-08-28 02:58:00 PST,+229.253-114.213j,-195.378-98.4152j,-11.4179+214.975j
2013-08-28 02:59:00 PST,+229.269-114.091j,-195.727-98.8025j,-11.5435+215.628j
2013-08-28 03:00:00 PST,+230.043-114.276j,-196.642-99.5445j,-11.7447+216.944j
2013-08-28 03:01:00 PST,+230.913-114.656j,-196.673-99.5267j,-11.7985+216.996j
2013-08-28 03:02:00 PST,+230.295-114.516j,-195.827-98.8518j,-11.6294+215.808j
2013-08-28 03:03:00 PST,+228.877-113.977j,-195.557-98.6372j,-11.4634+215.314j
2013-08-28 03:04:00 PST,+228.221-113.748j,-195.849-98.7724j,-11.3713+215.474j
2013-08-28 03:05:00 PST,+228.359-113.915j,-195.567-98.4499j,-11.2777+214.945j
2013-08-28 03:06:00 PST,+228.341-113.948j,-194.986-98.033j,-11.2326+214.248j
2013-08-28 03:07:00 PST,+228.161-113.77j,-195.247-98.336j,-11.3174+214.74j
2013-08-28 03:08:00 PST,+228.734-113.897j,-196.072-98.99j,-11.4766+215.889j
2013-08-28 03:09:00 PST,+230.111-114.423j,-196.326-99.1884j,-11.6349+216.352j
2013-08-28 03:10:00 PST,+230.728-114.641j,-196.013-99.033j,-11.7172+216.154j
2013-08-28 03:11:00 PST,+230.161-114.349j,-196.112-99.1779j,-11.7253+216.344j
2013-08-28 03:12:00 PST,+229.944-114.248j,-196.599-99.5026j,-11.7244+216.864j
2013-08-28 03:13:00 PST,+230.534-114.545j,-196.509-99.3666j,-11.7211+216.691j
2013-08-28 03:14:00 PST,+230.357-114.533j,-195.853-98.8776j,-11.642+215.857j
2013-08-28 03:15:00 PST,+229.378-114.122j,-195.774-98.8481j,-11.5656+215.715j
2013-08-28 03:16:00 PST,+229.352-114.078j,-196.341-99.2517j,-11.603+216.389j
2013-08-28 03:17:00 PST,+230.336-114.49j,-196.423-99.2833j,-11.6807+216.534j
2013-08-28 03:18:00 PST,+230.558-114.593j,-195.939-98.9616j,-11.6824+216.019j
2013-08-28 03:19:00 PST,+229.973-114.297j,-196.031-99.0988j,-11.6868+216.196j
2013-08-28 03:20:00 PST,+230.153-114.31j,-196.689-99.5908j,-11.7668+217.035j
2013-08-28 03:21:00 PST,+231.141-114.724j,-196.772-99.6226j,-11.8447+217.181j
2013-08-28 03:22:00 PST,+231.363-114.827j,-196.286-99.2992j,-11.8459+216.662j
2013-08-28 03:23:00 PST,+230.775-114.53j,-196.378-99.4363j,-11.8502+216.839j
2013-08-28 03:24:00 PST,+230.956-114.543j,-197.039-99.9309j,-11.9311+217.682j
2013-08-28 03:25:00 PST,+231.948-114.958j,-197.121-99.9627j,-12.009+217.828j
2013-08-28 03:26:00 PST,+231.739-114.936j,-196.448-99.4566j,-11.9222+216.962j
2013-08-28 03:27:00 PST,+230.159-114.35j,-196.111-99.1771j,-11.7248+216.344j
2013-08-28 03:28:00 PST,+229.35-114.076j,-196.34-99.2506j,-11.6025+216.386j
2013-08-28 03:29:00 PST,+229.339-114.2j,-195.991-98.863j,-11.4775+215.733j
2013-08-28 03:30:00 PST,+228.566-114.014j,-195.082-98.1273j,-11.2782+214.428j
2013-08-28 03:31:00 PST,+227.495-113.577j,-194.959-98.0554j,-11.1814+214.206j
2013-08-28 03:32:00 PST,+227.874-113.648j,-195.697-98.6254j,-11.3002+215.195j
2013-08-28 03:33:00 PST,+229.05-114.116j,-195.866-98.7413j,-11.4187+215.501j
2013-08-28 03:34:00 PST,+229.473-114.277j,-195.472-98.507j,-11.4623+215.152j
2013-08-28 03:35:00 PST,+229.092-114.04j,-195.65-98.7279j,-11.5072+215.487j
2013-08-28 03:36:00 PST,+229.076-113.997j,-196.221-99.1347j,-11.5465+216.165j
2013-08-28 03:37:00 PST,+229.265-114.178j,-195.959-98.8317j,-11.4623+215.674j
2013-08-28 03:38:00 PST,+228.692-114.051j,-195.137-98.1802j,-11.3038+214.529j
2013-08-28 03:39:00 PST,+227.326-113.528j,-194.886-97.9845j,-11.147+214.071j
2013-08-28 03:40:00 PST,+226.715-113.313j,-195.193-98.1347j,-11.0627+214.261j
2013-08-28 03:41:00 PST,+227.281-113.604j,-195.1-97.9953j,-11.0575+214.082j
2013-08-28 03:42:00 PST,+227.702-113.765j,-194.71-97.7652j,-11.1025+213.739j
2013-08-28 03:43:00 PST,+227.329-113.53j,-194.887-97.9856j,-11.1474+214.074j
2013-08-28 03:44:00 PST,+227.707-113.601j,-195.624-98.5545j,-11.2658+215.061j
2013-08-28 03:45:00 PST,+228.881-114.068j,-195.793-98.67j,-11.3841+215.367j
2013-08-28 03:46:00 PST,+229.371-114.248j,-195.428-98.4643j,-11.4416+215.07j
2013-08-28 03:47:00 PST,+229.187-114.068j,-195.691-98.7677j,-11.5265+215.564j
2013-08-28 03:48:00 PST,+229.762-114.196j,-196.519-99.4253j,-11.6869+216.718j
2013-08-28 03:49:00 PST,+231.145-114.724j,-196.774-99.6245j,-11.8456+217.183j
2013-08-28 03:50:00 PST,+231.764-114.943j,-196.459-99.4671j,-11.9273+216.982j
2013-08-28 03:51:00 PST,+231.281-114.674j,-196.597-99.6494j,-11.9536+217.242j
2013-08-28 03:52:00 PST,+231.082-114.578j,-197.094-99.9845j,-11.9573+217.781j
2013-08-28 03:53:00 PST,+231.693-114.882j,-197.011-99.8555j,-11.9575+217.621j
2013-08-28 03:54:00 PST,+231.534-114.875j,-196.36-99.3708j,-11.8808+216.796j
2013-08-28 03:55:00 PST,+231.354-114.822j,-196.283-99.2952j,-11.8442+216.652j
2013-08-28 03:56:00 PST,+231.329-114.776j,-196.854-99.7017j,-11.8831+217.329j
2013-08-28 03:57:00 PST,+231.659-114.872j,-196.997-99.841j,-11.9503+217.594j
2013-08-28 03:58:00 PST,+231.217-114.656j,-196.569-99.6227j,-11.9407+217.191j
2013-08-28 03:59:00 PST,+231.544-114.751j,-196.711-99.7605j,-12.0071+217.454j
2013-08-28 04:00:00 PST,+232.647-115.159j,-197.425-100.257j,-12.1515+218.387j
2013-08-28 04:01:00 PST,+232.889-115.232j,-197.529-100.359j,-12.2006+218.585j
2013-08-28 04:02:00 PST,+232.918-115.281j,-196.955-99.9507j,-12.1612+217.905j
2013-08-28 04:03:00 PST,+232.928-115.283j,-196.96-99.9545j,-12.1629+217.913j
2013-08-28 04:04:00 PST,+232.918-115.241j,-197.541-100.371j,-12.2062+218.608j
2013-08-28 04:05:00 PST,+232.927-115.244j,-197.546-100.376j,-12.2083+218.616j
2013-08-28 04:06:00 PST,+232.156-114.931j,-196.975-100.018j,-12.1317+217.947j
2013-08-28 04:07:00 PST,+232.167-114.934j,-196.98-100.023j,-12.1338+217.956j
2013-08-28 04:08:00 PST,+232.955-115.251j,-197.558-100.387j,-12.2139+218.637j
2013-08-28 04:09:00 PST,+232.966-115.254j,-197.563-100.392j,-12.2163+218.646j
2013-08-28 04:10:00 PST,+232.201-114.944j,-196.994-100.037j,-12.1408+217.983j
2013-08-28 04:11:00 PST,+232.086-114.911j,-196.945-99.9886j,-12.1174+217.891j
2013-08-28 04:12:00 PST,+232.458-115.107j,-197.343-100.178j,-12.1129+218.238j
2013-08-28 04:13:00 PST,+232.055-114.989j,-197.168-100.008j,-12.0311+217.914j
2013-08-28 04:14:00 PST,+230.882-114.561j,-196.424-99.4817j,-11.8722+216.925j
2013-08-28 04:15:00 PST,+230.48-114.444j,-196.25-99.3125j,-11.7904+216.602j
2013-08-28 04:16:00 PST,+230.809-114.63j,-196.627-99.4823j,-11.7764+216.918j
2013-08-28 04:17:00 PST,+230.22-114.458j,-196.372-99.2339j,-11.6567+216.444j
2013-08-28 04:18:00 PST,+228.869-113.979j,-195.553-98.6342j,-11.4615+215.313j
2013-08-28 04:19:00 PST,+228.282-113.809j,-195.299-98.387j,-11.3419+214.842j
2013-08-28 04:20:00 PST,+228.449-113.945j,-195.605-98.4872j,-11.2952+215.023j
2013-08-28 04:21:00 PST,+228.4-113.931j,-195.583-98.4665j,-11.2853+214.985j
2013-08-28 04:22:00 PST,+228.988-114.015j,-195.603-98.6838j,-11.4854+215.409j
2013-08-28 04:23:00 PST,+230.328-114.406j,-196.184-99.2481j,-11.758+216.486j
2013-08-28 04:24:00 PST,+232.443-115.107j,-197.335-100.171j,-12.1092+218.231j
2013-08-28 04:25:00 PST,+233.79-115.5j,-197.919-100.739j,-12.3829+219.313j
2013-08-28 04:26:00 PST,+233.906-115.442j,-197.732-100.755j,-12.4877+219.355j
2013-08-28 04:27:00 PST,+233.596-115.352j,-197.598-100.624j,-12.4245+219.106j
2013-08-28 04:28:00 PST,+234.067-115.577j,-198.04-100.856j,-12.4401+219.533j
2013-08-28 04:29:00 PST,+233.756-115.486j,-197.904-100.725j,-12.377+219.283j
2013-08-28 04:30:00 PST,+232.665-115.081j,-197.195-100.232j,-12.2351+218.359j
2013-08-28 04:31:00 PST,+232.511-115.038j,-197.127-100.167j,-12.2035+218.237j
2013-08-28 04:32:00 PST,+233.558-115.431j,-197.818-100.641j,-12.3362+219.127j
2013-08-28 04:33:00 PST,+233.828-115.51j,-197.935-100.755j,-12.3912+219.343j
2013-08-28 04:34:00 PST,+233.316-115.273j,-197.476-100.506j,-12.3674+218.884j
2013-08-28 04:35:00 PST,+233.584-115.351j,-197.592-100.619j,-12.4217+219.099j
2013-08-28 04:36:00 PST,+234.486-115.701j,-198.221-101.033j,-12.525+219.872j
2013-08-28 04:37:00 PST,+234.104-115.589j,-198.055-100.871j,-12.4475+219.565j
2013-08-28 04:38:00 PST,+232.941-115.164j,-197.314-100.348j,-12.2909+218.583j
2013-08-28 04:39:00 PST,+232.56-115.053j,-197.149-100.188j,-12.2134+218.277j
2013-08-28 04:40:00 PST,+232.955-115.256j,-197.557-100.387j,-12.2134+218.642j
2013-08-28 04:41:00 PST,+232.514-115.127j,-197.366-100.201j,-12.124+218.288j
2013-08-28 04:42:00 PST,+231.089-114.625j,-196.512-99.5685j,-11.9137+217.096j
2013-08-28 04:43:00 PST,+230.438-114.436j,-196.231-99.2946j,-11.7813+216.574j
2013-08-28 04:44:00 PST,+230.552-114.557j,-196.515-99.3738j,-11.7238+216.713j
2013-08-28 04:45:00 PST,+229.898-114.366j,-196.232-99.0982j,-11.591+216.187j
2013-08-28 04:46:00 PST,+228.88-113.993j,-195.555-98.6382j,-11.4622+215.334j
2013-08-28 04:47:00 PST,+229.907-114.292j,-195.999-99.0704j,-11.6711+216.158j
2013-08-28 04:48:00 PST,+231.705-114.901j,-197.013-99.8595j,-11.9576+217.649j
2013-08-28 04:49:00 PST,+232.736-115.202j,-197.46-100.294j,-12.1674+218.477j
